id,time,pos,open,high,low,close,volume,bidVolume,askVolume,vwap,calc__label:smaLow14__tf:same__id:sma__source:low__length:14__out:value,calc__label:emaOpen21__tf:same__id:ema__source:open__length:21__out:value,calc__label:vwmaHigh120__tf:same__id:vwma__source:high__length:120__out:value,calc__label:wmaLow31__tf:same__id:wma__source:low__length:31__out:value,calc__label:rmaHigh40__tf:same__id:rma__source:high__length:40__out:value,calc__label:hmaOpen150__tf:same__id:hma__source:open__length:150__out:value,calc__label:crossaboveHighSma20__tf:same__id:crossabove__series1:high__series2:sma20__out:value,calc__label:crossbelowHighSma20__tf:same__id:crossbelow__series1:high__series2:sma20__out:value,calc__label:stdDevLow22__tf:same__id:stdev__source:low__length:22__out:value,calc__label:changeHigh8__tf:same__id:change__source:high__length:8__out:value,calc__label:truerange__tf:same__id:truerange__out:value,calc__label:linearRegressionHigh35__tf:same__id:linreg__source:high__length:35__out:value,calc__label:pivothigh5__tf:same__id:pivothigh__source:high__length:5__out:value,calc__label:pivotlow5__tf:same__id:pivotlow__source:low__length:5__out:value,calc__label:rateofchangeOpen36__tf:same__id:rateofchange__source:open__length:36__out:value,calc__label:sumLow250__tf:same__id:sum__source:low__length:250__out:value,calc__label:cumulativeLow__tf:same__id:cumulative__source:low__out:value,calc__label:atr18__tf:same__id:atr__length:18__out:value,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:top,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:mid,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:bot,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:macd,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:signal,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:hist,calc__label:rsiLow21__tf:same__id:rsi__source:low__length:21__out:value,calc__label:stochasticOpen14__tf:same__id:stochastic__source:open__high:high__low:low__length:14__out:value,calc__label:vwapOpenDaily__tf:same__id:vwap__source:open__resetCondition:daily__out:value,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:vwap,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:top1,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:bot1
1772507825500000000,1772507825500,4249275,2.87375,2.87425,2.87375,2.87425,1500,996,504,2.8738952943483986,2.87375,2.87375,2.87425,2.87375,2.87425,2.87375,0.00000,0.00000,0.00000,0.00000,0.00050,2.87775,0.00000,0.00000,0.00000,0.00000,2.87375,0.00050,2.87375,2.87375,2.87375,0.00000,0.00000,0.00000,0.00000,0.00000,2.87375,2.87375,2.87375,2.87375
1772508356500000000,1772508356500,4249276,2.8743,2.87455,2.87405,2.87405,2784,377,2407,2.874353041080223,2.87390,2.87412,2.87444,2.87395,2.87426,2.87399,0.00000,0.00000,0.00000,0.00030,0.00050,2.87775,0.00000,0.00000,0.00000,0.00000,5.74780,0.00050,2.87390,2.87390,2.87390,0.00000,0.00000,0.00000,100.00000,68.74255,2.87411,2.87394,2.87405,2.87384
1772508886750000000,1772508886750,4249277,2.87395,2.8743,2.8738,2.8743,2236,1199,1037,2.873935435667021,2.87387,2.87403,2.87440,2.87388,2.87426,2.87401,0.00000,0.00000,0.00000,0.00005,0.00050,2.87775,0.00000,0.00000,0.00000,0.00000,8.62160,0.00050,2.87387,2.87387,2.87387,0.00000,0.00000,0.00000,100.00000,25.00000,2.87405,2.87390,2.87401,2.87378
1772509814625000000,1772509814625,4249278,2.87435,2.87465,2.87415,2.87465,3186,1631,1555,2.8743803908221763,2.87394,2.87416,2.87448,2.87399,2.87427,2.87407,0.00000,0.00000,0.00000,0.00040,0.00050,2.87775,0.00000,0.00000,0.00000,0.00000,11.49575,0.00050,2.87394,2.87394,2.87394,0.00000,0.00000,0.00000,54.81268,66.67550,2.87415,2.87398,2.87413,2.87383
1772510742000000000,1772510742000,4249279,2.8747,2.8747,2.8742,2.8742,159,67,92,2.874423605840911,2.87399,2.87434,2.87448,2.87406,2.87428,2.87416,0.00000,0.00000,0.00000,0.00045,0.00050,2.87775,0.00000,0.00000,0.00000,0.00000,14.36995,0.00050,2.87399,2.87399,2.87399,0.00000,0.00000,0.00000,55.02626,100.00000,2.87416,2.87398,2.87414,2.87383
1772510809750000000,1772510809750,4249280,2.87415,2.87465,2.87415,2.87465,920,443,477,2.8745108552601026,2.87402,2.87429,2.87450,2.87408,2.87429,2.87420,0.00000,0.00000,0.00000,0.00040,0.00050,2.87775,0.00000,0.00000,0.00000,0.00000,17.24410,0.00050,2.87402,2.87402,2.87402,0.00000,0.00000,0.00000,54.75452,42.10791,2.87416,2.87400,2.87416,2.87384
1772511273125000000,1772511273125,4249281,2.8747,2.87485,2.87435,2.87435,2032,1309,723,2.874645674205202,2.87406,2.87439,2.87455,2.87415,2.87430,2.87425,0.00000,0.00000,0.00000,0.00060,0.00050,2.87775,2.87485,0.00000,0.00000,0.00000,20.11845,0.00050,2.87406,2.87406,2.87406,0.00000,0.00000,0.00000,55.67286,86.36758,2.87424,2.87405,2.87426,2.87385
1772511803500000000,1772511803500,4249282,2.8743,2.87455,2.87405,2.87455,2388,1127,1261,2.874336378957758,2.87406,2.87437,2.87455,2.87413,2.87431,2.87427,0.00000,0.00000,0.00000,0.00030,0.00050,2.87775,0.00000,0.00000,0.00000,0.00000,22.99250,0.00050,2.87406,2.87406,2.87406,0.00000,0.00000,0.00000,53.94761,50.00000,2.87425,2.87405,2.87424,2.87386
1772512731375000000,1772512731375,4249283,2.8746,2.87475,2.87425,2.87425,927,455,472,2.8745100284728675,2.87408,2.87442,2.87456,2.87415,2.87432,2.87430,0.00000,0.00000,0.00000,0.00050,0.00050,2.87775,0.00000,0.00000,0.00000,0.00000,25.86675,0.00050,2.87408,2.87408,2.87408,0.00000,0.00000,0.00000,54.92500,77.26485,2.87427,2.87406,2.87426,2.87387
1772513261250000000,1772513261250,4249284,2.8742,2.87435,2.87385,2.87435,1714,947,767,2.8740682288952164,2.87406,2.87438,2.87454,2.87410,2.87432,2.87432,0.00000,2.87435,0.00000,-0.00020,0.00050,2.87775,0.00000,2.87385,0.00000,0.00000,28.74060,0.00050,2.87406,2.87406,2.87406,0.00000,0.00000,0.00000,52.58281,40.91894,2.87427,2.87404,2.87424,2.87384
