id,time,pos,open,high,low,close,volume,bidVolume,askVolume,vwap,calc__label:smaLow14__tf:same__id:sma__source:low__length:14__out:value,calc__label:emaOpen21__tf:same__id:ema__source:open__length:21__out:value,calc__label:vwmaHigh120__tf:same__id:vwma__source:high__length:120__out:value,calc__label:wmaLow31__tf:same__id:wma__source:low__length:31__out:value,calc__label:rmaHigh40__tf:same__id:rma__source:high__length:40__out:value,calc__label:hmaOpen150__tf:same__id:hma__source:open__length:150__out:value,calc__label:crossaboveHighSma20__tf:same__id:crossabove__series1:high__series2:sma20__out:value,calc__label:crossbelowHighSma20__tf:same__id:crossbelow__series1:high__series2:sma20__out:value,calc__label:stdDevLow22__tf:same__id:stdev__source:low__length:22__out:value,calc__label:changeHigh8__tf:same__id:change__source:high__length:8__out:value,calc__label:truerange__tf:same__id:truerange__out:value,calc__label:linearRegressionHigh35__tf:same__id:linreg__source:high__length:35__out:value,calc__label:pivothigh5__tf:same__id:pivothigh__source:high__length:5__out:value,calc__label:pivotlow5__tf:same__id:pivotlow__source:low__length:5__out:value,calc__label:rateofchangeOpen36__tf:same__id:rateofchange__source:open__length:36__out:value,calc__label:sumLow250__tf:same__id:sum__source:low__length:250__out:value,calc__label:cumulativeLow__tf:same__id:cumulative__source:low__out:value,calc__label:atr18__tf:same__id:atr__length:18__out:value,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:top,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:mid,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:bot,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:macd,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:signal,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:hist,calc__label:rsiLow21__tf:same__id:rsi__source:low__length:21__out:value,calc__label:stochasticOpen14__tf:same__id:stochastic__source:open__high:high__low:low__length:14__out:value,calc__label:vwapOpenDaily__tf:same__id:vwap__source:open__resetCondition:daily__out:value,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:vwap,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:top1,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:bot1
1778796000000000000,1778796000000,24980000,2.91365,2.9139,2.91365,2.9138,97,70,27,2.9137798969072164,2.91365,2.91365,2.91390,2.91365,2.91390,2.91365,0.00000,0.00000,0.00000,0.00000,0.00025,2.90910,0.00000,0.00000,0.00000,0.00000,2.91365,0.00025,2.91365,2.91365,2.91365,0.00000,0.00000,0.00000,0.00000,0.00000,2.91365,2.91365,2.91365,2.91365
1778796060000000000,1778796060000,24980001,2.91385,2.91385,2.9134,2.91365,118,91,27,2.9136694915254235,2.91353,2.91378,2.91387,2.91348,2.91390,2.91374,0.00000,0.00000,0.00000,-0.00005,0.00045,2.90910,0.00000,0.00000,0.00000,0.00000,5.82705,0.00026,2.91353,2.91353,2.91353,0.00000,0.00000,0.00000,100.00000,90.03338,2.91376,2.91351,2.91362,2.91341
1778796120000000000,1778796120000,24980002,2.91365,2.91365,2.91285,2.9131,96,57,39,2.9132604166666667,2.91330,2.91372,2.91380,2.91317,2.91389,2.91373,0.00000,0.00000,0.00000,-0.00025,0.00080,2.90910,0.00000,0.00000,0.00000,0.00000,8.73990,0.00029,2.91330,2.91330,2.91330,0.00000,0.00000,0.00000,0.00000,76.20345,2.91373,2.91331,2.91364,2.91298
1778796195000000000,1778796195000,24980003,2.91325,2.91405,2.91325,2.91405,189,64,125,2.9135968253968256,2.91329,2.91353,2.91390,2.91320,2.91390,2.91365,0.00000,0.00000,0.00000,0.00015,0.00095,2.90910,0.00000,0.00000,0.00000,0.00000,11.65315,0.00033,2.91329,2.91329,2.91329,0.00000,0.00000,0.00000,0.00000,33.33333,2.91355,2.91329,2.91355,2.91302
1778796255000000000,1778796255000,24980004,2.91395,2.91395,2.9131,2.9132,332,308,24,2.913348042168675,2.91325,2.91367,2.91392,2.91317,2.91390,2.91366,0.00000,0.00000,0.00000,0.00005,0.00095,2.90910,0.00000,0.00000,0.00000,0.00000,14.56625,0.00036,2.91325,2.91325,2.91325,0.00000,0.00000,0.00000,60.67509,91.65673,2.91371,2.91321,2.91343,2.91299
1778796330000000000,1778796330000,24980005,2.9133,2.9138,2.9133,2.91345,134,57,77,2.913580223880597,2.91326,2.91356,2.91390,2.91320,2.91390,2.91363,0.00000,0.00000,0.00000,-0.00010,0.00060,2.90910,0.00000,0.00000,0.00000,0.00000,17.47955,0.00038,2.91326,2.91326,2.91326,0.00000,0.00000,0.00000,61.29161,37.50497,2.91365,2.91322,2.91343,2.91302
1778796390000000000,1778796390000,24980006,2.9137,2.91405,2.91355,2.91405,105,23,82,2.913802857142857,2.91330,2.91360,2.91392,2.91329,2.91390,2.91362,0.00000,0.00000,0.00000,0.00015,0.00060,2.90910,0.00000,0.00000,0.00000,0.00000,20.39310,0.00039,2.91330,2.91330,2.91330,0.00000,0.00000,0.00000,62.07150,70.83830,2.91366,2.91326,2.91349,2.91303
1778796450000000000,1778796450000,24980007,2.914,2.9144,2.914,2.9144,234,169,65,2.914298290598291,2.91339,2.91369,2.91400,2.91345,2.91391,2.91364,0.00000,0.00000,0.00000,0.00050,0.00040,2.90910,0.00000,0.00000,0.00000,0.00000,23.30710,0.00039,2.91339,2.91339,2.91339,0.00000,0.00000,0.00000,63.46394,74.19256,2.91372,2.91339,2.91377,2.91301
1778796525000000000,1778796525000,24980008,2.9144,2.91445,2.91395,2.91395,89,37,52,2.91426797752809,2.91345,2.91383,2.91403,2.91355,2.91393,2.91368,0.00000,0.00000,0.00000,0.00055,0.00050,2.90910,2.91445,0.00000,0.00000,0.00000,26.22105,0.00039,2.91345,2.91345,2.91345,0.00000,0.00000,0.00000,63.19299,96.88571,2.91376,2.91343,2.91383,2.91302
1778796585000000000,1778796585000,24980009,2.9138,2.9139,2.9137,2.9139,93,24,69,2.9138241935483866,2.91348,2.91382,2.91402,2.91358,2.91392,2.91370,0.00000,0.00000,0.00000,0.00005,0.00025,2.90910,0.00000,0.00000,0.00000,0.00000,29.13475,0.00039,2.91348,2.91348,2.91348,0.00000,0.00000,0.00000,61.81021,59.38012,2.91376,2.91344,2.91384,2.91304
