id,time,pos,open,high,low,close,volume,bidVolume,askVolume,vwap,prices,calc__label:vpLinesDeveloping__tf:same__id:vpLines__reset:daily__developing:true__valueAreaPct:70.0__out:poc,calc__label:vpLinesDeveloping__tf:same__id:vpLines__reset:daily__developing:true__valueAreaPct:70.0__out:vah,calc__label:vpLinesDeveloping__tf:same__id:vpLines__reset:daily__developing:true__valueAreaPct:70.0__out:val,calc__label:vpLines__tf:same__id:vpLines__reset:daily__developing:false__valueAreaPct:70.0__out:poc,calc__label:vpLines__tf:same__id:vpLines__reset:daily__developing:false__valueAreaPct:70.0__out:vah,calc__label:vpLines__tf:same__id:vpLines__reset:daily__developing:false__valueAreaPct:70.0__out:val,calc__label:cvd__tf:same__id:cvd__resetDaily:false__out:open,calc__label:cvd__tf:same__id:cvd__resetDaily:false__out:close,calc__label:volumeDelta__tf:same__id:volumeDelta__out:askVolume,calc__label:volumeDelta__tf:same__id:volumeDelta__out:bidVolume,calc__label:timeHighlightRange__tf:same__id:timeHighlightRange__startTime:083000__endTime:123000__timezone:chart__out:value,calc__label:timeHighlight__tf:same__id:timeHighlight__startTime:120000__out:value,calc__label:donchian__tf:same__id:donchian__length:100__out:highestHigh,calc__label:donchian__tf:same__id:donchian__length:100__out:lowestLow,calc__label:donchian__tf:same__id:donchian__length:100__out:mid,calc__label:keltner__tf:same__id:keltner__source:close__length:50__multiplier:1.6__out:basis,calc__label:keltner__tf:same__id:keltner__source:close__length:50__multiplier:1.6__out:top,calc__label:keltner__tf:same__id:keltner__source:close__length:50__multiplier:1.6__out:bot,calc__label:supertrend__tf:same__id:supertrend__source:hl2__length:3__multiplier:2__out:value,calc__label:heikinAshi__tf:same__id:heikinAshi__out:open,calc__label:heikinAshi__tf:same__id:heikinAshi__out:high,calc__label:heikinAshi__tf:same__id:heikinAshi__out:low,calc__label:heikinAshi__tf:same__id:heikinAshi__out:close,calc__label:ohlcForTimePeriod__tf:same__id:ohlcForTimePeriod__resetSeconds:3600__out:open,calc__label:ohlcForTimePeriod__tf:same__id:ohlcForTimePeriod__resetSeconds:3600__out:high,calc__label:ohlcForTimePeriod__tf:same__id:ohlcForTimePeriod__resetSeconds:3600__out:low,calc__label:ohlcForTimePeriod__tf:same__id:ohlcForTimePeriod__resetSeconds:3600__out:close
1778796000000000000,1778796000000,24980000,2.91365,2.9139,2.91365,2.9138,97,70,27,2.9137798969072164,2.91365:7;2.9138:42;2.91375:20;2.9137:13;2.91385:2;2.9139:13,2.91380,2.91380,2.91370,2.91170,2.91410,2.90840,0.00000,-43.00000,27.00000,-70.00000,0.00000,0.00000,2.91390,2.91365,2.91377,2.91380,2.91380,2.91380,2.91377,2.91365,2.91390,2.91365,2.91375,0.00000,0.00000,0.00000,0.00000
1778796066000000000,1778796066000,24980001,2.91385,2.91385,2.9134,2.91365,118,91,27,2.9136694915254235,2.91385:17;2.91375:24;2.9137:36;2.91355:28;2.9134:10;2.91365:3,2.91370,2.91385,2.91370,2.91170,2.91410,2.90840,-60.00000,-107.00000,27.00000,-91.00000,0.00000,0.00000,2.91390,2.91340,2.91365,2.91372,2.91413,2.91332,2.91426,2.91370,2.91385,2.91340,2.91369,0.00000,0.00000,0.00000,0.00000
1778796132000000000,1778796132000,24980002,2.91365,2.91365,2.91285,2.9131,96,57,39,2.9132604166666667,2.91365:18;2.91345:21;2.91325:10;2.91305:3;2.9131:29;2.9129:11;2.91285:4,2.91370,2.91385,2.91345,2.91170,2.91410,2.90840,-107.00000,-125.00000,39.00000,-57.00000,0.00000,0.00000,2.91390,2.91285,2.91337,2.91352,2.91394,2.91309,2.91421,2.91369,2.91369,2.91285,2.91331,0.00000,0.00000,0.00000,0.00000
1778796198000000000,1778796198000,24980003,2.91325,2.91405,2.91325,2.91405,189,64,125,2.9135968253968256,2.91325:27;2.91365:21;2.9137:21;2.91355:25;2.9136:79;2.914:5;2.91405:11,2.91360,2.91380,2.91345,2.91170,2.91410,2.90840,-125.00000,-64.00000,125.00000,-64.00000,0.00000,0.00000,2.91405,2.91285,2.91345,2.91365,2.91410,2.91320,2.91421,2.91350,2.91405,2.91325,2.91365,0.00000,0.00000,0.00000,0.00000
1778796265000000000,1778796265000,24980004,2.91395,2.91395,2.9131,2.9132,332,308,24,2.913348042168675,2.91395:15;2.91375:3;2.9136:16;2.91345:14;2.91335:25;2.9131:12;2.9133:238;2.9132:9,2.91330,2.91370,2.91325,2.91170,2.91410,2.90840,-64.00000,-348.00000,24.00000,-308.00000,0.00000,0.00000,2.91405,2.91285,2.91345,2.91356,2.91403,2.91309,2.91421,2.91358,2.91395,2.91310,2.91355,0.00000,0.00000,0.00000,0.00000
1778796331000000000,1778796331000,24980005,2.9133,2.9138,2.9133,2.91345,134,57,77,2.913580223880597,2.9133:17;2.91365:22;2.9138:19;2.91375:19;2.9136:7;2.91355:22;2.91345:28,2.91330,2.91370,2.91325,2.91170,2.91410,2.90840,-331.00000,-328.00000,77.00000,-57.00000,0.00000,0.00000,2.91405,2.91285,2.91345,2.91354,2.91402,2.91306,2.91421,2.91356,2.91380,2.91330,2.91346,0.00000,0.00000,0.00000,0.00000
1778796397000000000,1778796397000,24980006,2.9137,2.91405,2.91355,2.91405,105,23,82,2.913802857142857,2.9137:1;2.91355:25;2.91365:17;2.91375:15;2.914:10;2.91395:13;2.91405:24,2.91330,2.91370,2.91325,2.91170,2.91410,2.90840,-328.00000,-269.00000,82.00000,-23.00000,0.00000,0.00000,2.91405,2.91285,2.91345,2.91361,2.91410,2.91313,2.91421,2.91351,2.91405,2.91351,2.91384,0.00000,0.00000,0.00000,0.00000
1778796464000000000,1778796464000,24980007,2.914,2.9144,2.914,2.9144,234,169,65,2.914298290598291,2.914:33;2.91405:11;2.9142:21;2.91425:17;2.9144:152,2.91330,2.91390,2.91325,2.91170,2.91410,2.90840,-269.00000,-373.00000,65.00000,-169.00000,0.00000,0.00000,2.91440,2.91285,2.91363,2.91371,2.91420,2.91322,2.91248,2.91368,2.91440,2.91368,2.91420,0.00000,0.00000,0.00000,0.00000
1778796530000000000,1778796530000,24980008,2.9144,2.91445,2.91395,2.91395,89,37,52,2.91426797752809,2.9144:5;2.91445:18;2.91435:14;2.91425:16;2.9143:10;2.9141:21;2.91395:5,2.91330,2.91400,2.91325,2.91170,2.91410,2.90840,-373.00000,-358.00000,52.00000,-37.00000,0.00000,0.00000,2.91445,2.91285,2.91365,2.91374,2.91424,2.91324,2.91305,2.91394,2.91445,2.91394,2.91419,0.00000,0.00000,0.00000,0.00000
1778796596000000000,1778796596000,24980009,2.9138,2.9139,2.9137,2.9139,93,24,69,2.9138241935483866,2.9138:26;2.91385:4;2.9139:39;2.91375:11;2.9137:13,2.91330,2.91395,2.91325,2.91170,2.91410,2.90840,-338.00000,-313.00000,69.00000,-24.00000,0.00000,0.00000,2.91445,2.91285,2.91365,2.91376,2.91425,2.91326,2.91305,2.91406,2.91406,2.91370,2.91383,0.00000,0.00000,0.00000,0.00000
1778796662000000000,1778796662000,24980010,2.9138,2.9138,2.91315,2.91315,395,255,140,2.91354582278481,2.9138:23;2.9137:100;2.91365:24;2.91375:4;2.91345:208;2.91355:24;2.91315:12,2.91345,2.91430,2.91335,2.91170,2.91410,2.90840,-313.00000,-428.00000,140.00000,-255.00000,0.00000,0.00000,2.91445,2.91285,2.91365,2.91370,2.91421,2.91319,2.91305,2.91394,2.91394,2.91315,2.91348,0.00000,0.00000,0.00000,0.00000
1778796729000000000,1778796729000,24980011,2.9133,2.9133,2.91245,2.91245,155,43,112,2.9129716129032257,2.9133:25;2.9132:25;2.9131:8;2.91295:24;2.913:25;2.91275:21;2.91265:18;2.91245:9,2.91330,2.91380,2.91310,2.91170,2.91410,2.90840,-428.00000,-359.00000,112.00000,-43.00000,0.00000,0.00000,2.91445,2.91245,2.91345,2.91360,2.91412,2.91307,2.91418,2.91371,2.91371,2.91245,2.91287,0.00000,0.00000,0.00000,0.00000
1778796795000000000,1778796795000,24980012,2.91245,2.9127,2.91245,2.9127,90,34,56,2.912588888888889,2.91245:14;2.91255:32;2.9126:17;2.9127:27,2.91330,2.91390,2.91310,2.91170,2.91410,2.90840,-359.00000,-337.00000,56.00000,-34.00000,0.00000,0.00000,2.91445,2.91245,2.91345,2.91353,2.91405,2.91300,2.91361,2.91329,2.91329,2.91245,2.91258,0.00000,0.00000,0.00000,0.00000
1778796861000000000,1778796861000,24980013,2.91275,2.91275,2.9117,2.9117,101,26,75,2.912297524752475,2.91275:6;2.9126:33;2.91235:21;2.91205:23;2.9119:12;2.91175:5;2.9117:1,2.91330,2.91400,2.91310,2.91170,2.91410,2.90840,-331.00000,-288.00000,75.00000,-26.00000,0.00000,0.00000,2.91445,2.91170,2.91307,2.91340,2.91394,2.91285,2.91361,2.91293,2.91293,2.91170,2.91223,0.00000,0.00000,0.00000,0.00000
1778796928000000000,1778796928000,24980014,2.9116,2.9121,2.91125,2.9121,108,34,74,2.911716203703704,2.9116:36;2.9117:24;2.91125:10;2.91165:1;2.91175:14;2.9121:23,2.91330,2.91405,2.91310,2.91170,2.91410,2.90840,-269.00000,-248.00000,74.00000,-34.00000,0.00000,0.00000,2.91445,2.91125,2.91285,2.91331,2.91387,2.91275,2.91317,2.91258,2.91258,2.91125,2.91176,0.00000,0.00000,0.00000,0.00000
1778796994000000000,1778796994000,24980015,2.9122,2.91225,2.9116,2.9121,1074,829,245,2.911661266294227,2.9122:3;2.91225:8;2.9119:14;2.91165:798;2.9116:209;2.9118:21;2.9121:21,2.91165,2.91360,2.91125,2.91170,2.91410,2.90840,-248.00000,-832.00000,245.00000,-829.00000,0.00000,0.00000,2.91445,2.91125,2.91285,2.91323,2.91381,2.91266,2.91317,2.91217,2.91225,2.91160,2.91204,0.00000,0.00000,0.00000,0.00000
1778797060000000000,1778797060000,24980016,2.9118,2.91215,2.91175,2.91175,318,71,247,2.9120235849056604,2.9118:26;2.9119:36;2.9121:158;2.91215:15;2.912:76;2.91175:7,2.91165,2.91355,2.91125,2.91170,2.91410,2.90840,-832.00000,-656.00000,247.00000,-71.00000,0.00000,0.00000,2.91445,2.91125,2.91285,2.91315,2.91372,2.91257,2.91317,2.91210,2.91215,2.91175,2.91186,0.00000,0.00000,0.00000,0.00000
1778797126000000000,1778797126000,24980017,2.9118,2.91195,2.9112,2.9112,103,32,71,2.9115907766990294,2.9118:21;2.91195:16;2.9116:5;2.91155:11;2.91165:20;2.9113:8;2.9112:22,2.91165,2.91355,2.91120,2.91170,2.91410,2.90840,-640.00000,-617.00000,71.00000,-32.00000,0.00000,0.00000,2.91445,2.91120,2.91283,2.91304,2.91362,2.91245,2.91289,2.91198,2.91198,2.91120,2.91154,0.00000,0.00000,0.00000,0.00000
1778797193000000000,1778797193000,24980018,2.911,2.9113,2.9105,2.9105,103,48,55,2.9110242718446604,2.911:25;2.9113:18;2.9109:30;2.9112:20;2.91105:2;2.9105:8,2.91165,2.91355,2.91120,2.91170,2.91410,2.90840,-617.00000,-610.00000,55.00000,-48.00000,0.00000,0.00000,2.91445,2.91050,2.91248,2.91291,2.91351,2.91231,2.91231,2.91176,2.91176,2.91050,2.91082,0.00000,0.00000,0.00000,0.00000
1778797259000000000,1778797259000,24980019,2.9106,2.9106,2.9102,2.91035,344,310,34,2.9105239825581393,2.9106:243;2.91055:7;2.9104:12;2.9102:15;2.91035:54;2.9103:13,2.91165,2.91365,2.91120,2.91170,2.91410,2.90840,-819.00000,-886.00000,34.00000,-310.00000,0.00000,0.00000,2.91445,2.91020,2.91232,2.91278,2.91338,2.91218,2.91161,2.91129,2.91129,2.91020,2.91044,0.00000,0.00000,0.00000,0.00000
1778797325000000000,1778797325000,24980020,2.9102,2.9102,2.90995,2.91,108,29,79,2.9100625000000004,2.9102:24;2.91:16;2.9101:23;2.91005:19;2.90995:26,2.91165,2.91370,2.91120,2.91170,2.91410,2.90840,-886.00000,-836.00000,79.00000,-29.00000,0.00000,0.00000,2.91445,2.90995,2.91220,2.91265,2.91325,2.91204,2.91115,2.91086,2.91086,2.90995,2.91009,0.00000,0.00000,0.00000,0.00000
1778797392000000000,1778797392000,24980021,2.9102,2.9108,2.9102,2.91045,100,41,59,2.9104445000000005,2.9102:12;2.91035:26;2.91045:23;2.9108:3;2.9107:11;2.9105:25,2.91165,2.91370,2.91120,2.91170,2.91410,2.90840,-836.00000,-818.00000,59.00000,-41.00000,0.00000,0.00000,2.91445,2.90995,2.91220,2.91255,2.91316,2.91193,2.91115,2.91048,2.91080,2.91020,2.91041,0.00000,0.00000,0.00000,0.00000
1778797458000000000,1778797458000,24980022,2.9101,2.9105,2.9101,2.91015,81,45,36,2.9102586419753087,2.9101:16;2.91015:25;2.9103:15;2.9104:5;2.9105:2;2.91045:18,2.91165,2.91375,2.91120,2.91170,2.91410,2.90840,-818.00000,-827.00000,36.00000,-45.00000,0.00000,0.00000,2.91445,2.90995,2.91220,2.91244,2.91306,2.91183,2.91115,2.91044,2.91050,2.91010,2.91021,0.00000,0.00000,0.00000,0.00000
1778797524000000000,1778797524000,24980023,2.9101,2.91025,2.91005,2.91025,96,71,25,2.9101328125,2.9101:23;2.91015:30;2.91005:24;2.91025:19,2.91165,2.91375,2.91120,2.91170,2.91410,2.90840,-827.00000,-873.00000,25.00000,-71.00000,0.00000,0.00000,2.91445,2.90995,2.91220,2.91235,2.91296,2.91174,2.91102,2.91033,2.91033,2.91005,2.91016,0.00000,0.00000,0.00000,0.00000
