id,time,pos,open,high,low,close,volume,bidVolume,askVolume,vwap,calc__label:smaLow14__tf:same__id:sma__source:low__length:14__out:value,calc__label:emaOpen21__tf:same__id:ema__source:open__length:21__out:value,calc__label:vwmaHigh120__tf:same__id:vwma__source:high__length:120__out:value,calc__label:wmaLow31__tf:same__id:wma__source:low__length:31__out:value,calc__label:rmaHigh40__tf:same__id:rma__source:high__length:40__out:value,calc__label:hmaOpen150__tf:same__id:hma__source:open__length:150__out:value,calc__label:crossaboveHighSma20__tf:same__id:crossabove__series1:high__series2:sma20__out:value,calc__label:crossbelowHighSma20__tf:same__id:crossbelow__series1:high__series2:sma20__out:value,calc__label:stdDevLow22__tf:same__id:stdev__source:low__length:22__out:value,calc__label:changeHigh8__tf:same__id:change__source:high__length:8__out:value,calc__label:truerange__tf:same__id:truerange__out:value,calc__label:linearRegressionHigh35__tf:same__id:linreg__source:high__length:35__out:value,calc__label:pivothigh5__tf:same__id:pivothigh__source:high__length:5__out:value,calc__label:pivotlow5__tf:same__id:pivotlow__source:low__length:5__out:value,calc__label:rateofchangeOpen36__tf:same__id:rateofchange__source:open__length:36__out:value,calc__label:sumLow250__tf:same__id:sum__source:low__length:250__out:value,calc__label:cumulativeLow__tf:same__id:cumulative__source:low__out:value,calc__label:atr18__tf:same__id:atr__length:18__out:value,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:top,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:mid,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:bot,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:macd,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:signal,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:hist,calc__label:rsiLow21__tf:same__id:rsi__source:low__length:21__out:value,calc__label:stochasticOpen14__tf:same__id:stochastic__source:open__high:high__low:low__length:14__out:value,calc__label:vwapOpenDaily__tf:same__id:vwap__source:open__resetCondition:daily__out:value,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:vwap,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:top1,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:bot1
1775180060250000000,1775180060250,6374446,2.8843,2.8843,2.88405,2.8843,500,330,170,2.8842167000000014,2.88405,2.88430,2.88430,2.88405,2.88430,2.88430,0.00000,0.00000,0.00000,0.00000,0.00025,2.88323,0.00000,0.00000,0.00000,0.00000,2.88405,0.00025,2.88405,2.88405,2.88405,0.00000,0.00000,0.00000,0.00000,100.00000,2.88430,2.88405,2.88405,2.88405
1775180325625000000,1775180325625,6374447,2.8843,2.88455,2.8843,2.88445,500,125,375,2.8844295,2.88417,2.88430,2.88443,2.88422,2.88431,2.88430,0.00000,0.00000,0.00000,0.00025,0.00025,2.88323,0.00000,0.00000,0.00000,0.00000,5.76835,0.00025,2.88417,2.88417,2.88417,0.00000,0.00000,0.00000,100.00000,50.00000,2.88430,2.88417,2.88429,2.88406
1775180591000000000,1775180591000,6374448,2.88445,2.88475,2.88445,2.8847,500,354,146,2.8846286,2.88427,2.88438,2.88453,2.88433,2.88432,2.88434,0.00000,0.00000,0.00000,0.00045,0.00030,2.88323,0.00000,0.00000,0.00000,0.00000,8.65280,0.00025,2.88427,2.88427,2.88427,0.00000,0.00000,0.00000,100.00000,57.15259,2.88435,2.88427,2.88443,2.88411
1775180789500000000,1775180789500,6374449,2.8847,2.8848,2.8846,2.8847,500,429,71,2.8846981,2.88435,2.88451,2.88460,2.88444,2.88433,2.88440,0.00000,0.00000,0.00000,0.00050,0.00020,2.88323,0.00000,0.00000,0.00000,0.00000,11.53740,0.00025,2.88435,2.88435,2.88435,0.00000,0.00000,0.00000,100.00000,86.68150,2.88444,2.88435,2.88456,2.88414
1775180922750000000,1775180922750,6374450,2.8847,2.88495,2.8846,2.8849,500,311,189,2.884828,2.88440,2.88457,2.88467,2.88449,2.88435,2.88446,0.00000,0.00000,0.00000,0.00065,0.00035,2.88323,0.00000,0.00000,0.00000,0.00000,14.42200,0.00026,2.88440,2.88440,2.88440,0.00000,0.00000,0.00000,100.00000,72.23841,2.88449,2.88440,2.88462,2.88418
1775181187125000000,1775181187125,6374451,2.8849,2.8849,2.8845,2.8847,500,259,241,2.884642000000001,2.88442,2.88466,2.88471,2.88450,2.88436,2.88452,0.00000,0.00000,0.00000,0.00060,0.00040,2.88323,0.00000,0.00000,0.00000,0.00000,17.30650,0.00026,2.88442,2.88442,2.88442,0.00000,0.00000,0.00000,100.00000,94.46358,2.88456,2.88442,2.88462,2.88421
1775181386875000000,1775181386875,6374452,2.8847,2.88475,2.8845,2.8847,500,255,245,2.8846864,2.88443,2.88467,2.88471,2.88450,2.88437,2.88456,0.00000,0.00000,0.00000,0.00045,0.00025,2.88323,0.00000,0.00000,0.00000,0.00000,20.19100,0.00026,2.88443,2.88443,2.88443,0.00000,0.00000,0.00000,68.61556,72.23841,2.88458,2.88443,2.88462,2.88424
1775181717250000000,1775181717250,6374453,2.8847,2.8848,2.88465,2.8848,500,122,378,2.8847443000000004,2.88446,2.88468,2.88473,2.88453,2.88438,2.88458,0.00000,0.00000,0.00000,0.00050,0.00015,2.88323,0.00000,0.00000,0.00000,0.00000,23.07565,0.00026,2.88446,2.88446,2.88446,0.00000,0.00000,0.00000,69.37312,72.23841,2.88459,2.88446,2.88465,2.88426
1775181850375000000,1775181850375,6374454,2.8848,2.8848,2.88425,2.88465,500,348,152,2.8845070999999995,2.88443,2.88470,2.88473,2.88447,2.88439,2.88461,0.00000,0.00000,0.00000,0.00050,0.00055,2.88323,0.00000,0.00000,0.00000,0.00000,25.95990,0.00027,2.88443,2.88443,2.88443,0.00000,0.00000,0.00000,64.97965,83.33775,2.88462,2.88443,2.88464,2.88423
1775182182875000000,1775182182875,6374455,2.88465,2.88485,2.88445,2.88485,500,223,277,2.8846152,2.88443,2.88469,2.88475,2.88447,2.88440,2.88462,0.00000,0.00000,0.00000,0.00030,0.00040,2.88323,0.00000,0.00000,0.00000,0.00000,28.84435,0.00028,2.88443,2.88443,2.88443,0.00000,0.00000,0.00000,66.10657,66.67550,2.88462,2.88443,2.88463,2.88424
