id,time,pos,open,high,low,close,volume,bidVolume,askVolume,vwap,calc__label:smaLow14__tf:same__id:sma__source:low__length:14__out:value,calc__label:emaOpen21__tf:same__id:ema__source:open__length:21__out:value,calc__label:vwmaHigh120__tf:same__id:vwma__source:high__length:120__out:value,calc__label:wmaLow31__tf:same__id:wma__source:low__length:31__out:value,calc__label:rmaHigh40__tf:same__id:rma__source:high__length:40__out:value,calc__label:hmaOpen150__tf:same__id:hma__source:open__length:150__out:value,calc__label:crossaboveHighSma20__tf:same__id:crossabove__series1:high__series2:sma20__out:value,calc__label:crossbelowHighSma20__tf:same__id:crossbelow__series1:high__series2:sma20__out:value,calc__label:stdDevLow22__tf:same__id:stdev__source:low__length:22__out:value,calc__label:changeHigh8__tf:same__id:change__source:high__length:8__out:value,calc__label:truerange__tf:same__id:truerange__out:value,calc__label:linearRegressionHigh35__tf:same__id:linreg__source:high__length:35__out:value,calc__label:pivothigh5__tf:same__id:pivothigh__source:high__length:5__out:value,calc__label:pivotlow5__tf:same__id:pivotlow__source:low__length:5__out:value,calc__label:rateofchangeOpen36__tf:same__id:rateofchange__source:open__length:36__out:value,calc__label:sumLow250__tf:same__id:sum__source:low__length:250__out:value,calc__label:cumulativeLow__tf:same__id:cumulative__source:low__out:value,calc__label:atr18__tf:same__id:atr__length:18__out:value,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:top,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:mid,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:bot,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:macd,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:signal,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:hist,calc__label:rsiLow21__tf:same__id:rsi__source:low__length:21__out:value,calc__label:stochasticOpen14__tf:same__id:stochastic__source:open__high:high__low:low__length:14__out:value,calc__label:vwapOpenDaily__tf:same__id:vwap__source:open__resetCondition:daily__out:value,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:vwap,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:top1,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:bot1
1772490523375000000,1772490523375,4249729,4656,4658.5,4656,4656,248,24,224,4657.648185483871,4656.00,4656.00,4658.50,4656.00,4658.50,4656.00,0.00,0.00,0.00,0.00,2.50,4651.94,0.00,0.00,0.00,0.00,4656.00,2.50,4656.00,4656.00,4656.00,0.00,0.00,0.00,0.00,0.00,4656.00,4656.00,4656.00,4656.00
1772490589500000000,1772490589500,4249730,4654.75,4656.25,4653.75,4653.75,295,264,31,4654.155084745763,4654.88,4655.17,4657.28,4654.50,4658.44,4655.44,0.00,0.00,0.00,-2.25,2.50,4651.94,0.00,0.00,0.00,0.00,9309.75,2.50,4654.88,4654.88,4654.88,0.00,0.00,0.00,100.00,21.05,4655.32,4654.78,4655.72,4653.83
1772490656375000000,1772490656375,4249731,4653.25,4655.75,4653.25,4653.25,73,29,44,4653.996575342466,4654.33,4654.21,4657.10,4653.88,4658.38,4654.83,0.00,0.00,0.00,-2.75,2.50,4651.94,0.00,0.00,0.00,0.00,13963.00,2.50,4654.33,4654.33,4654.33,0.00,0.00,0.00,0.00,0.00,4655.08,4654.60,4655.66,4653.54
1772490722125000000,1772490722125,4249732,4656,4658,4655.5,4655.5,56,32,24,4656.848214285715,4654.63,4654.92,4657.17,4654.52,4658.37,4654.87,0.00,0.00,0.00,-0.50,4.75,4651.94,0.00,0.00,0.00,0.00,18618.50,2.63,4654.63,4654.63,4654.63,0.00,0.00,0.00,0.00,52.38,4655.15,4654.67,4655.73,4653.61
1772490722875000000,1772490722875,4249733,4654.75,4656.5,4654,4654,175,59,116,4655.452857142857,4654.50,4654.87,4657.03,4654.35,4658.32,4654.87,0.00,0.00,0.00,-2.00,2.50,4651.94,0.00,0.00,0.00,0.00,23272.50,2.62,4654.50,4654.50,4654.50,0.00,0.00,0.00,51.27,28.57,4655.07,4654.53,4655.52,4653.54
1772490855625000000,1772490855625,4249734,4653.5,4656,4653.5,4656,19,13,6,4654.5,4654.33,4654.48,4657.01,4654.11,4658.26,4654.75,0.00,0.00,0.00,-2.50,2.50,4651.94,0.00,0.00,0.00,0.00,27926.00,2.61,4654.33,4654.33,4654.33,0.00,0.00,0.00,50.97,4.76,4655.04,4654.51,4655.51,4653.51
1772490921000000000,1772490921000,4249735,4656.25,4656.25,4653.75,4653.75,37,25,12,4655.0675675675675,4654.25,4654.92,4656.98,4654.02,4658.21,4654.80,0.00,0.00,0.00,-2.25,2.50,4651.94,0.00,0.00,0.00,0.00,32579.75,2.61,4654.25,4654.25,4654.25,0.00,0.00,0.00,51.12,57.14,4655.08,4654.48,4655.47,4653.48
1772490921250000000,1772490921250,4249736,4653.5,4655,4652.5,4655,44,16,28,4654.034090909091,4654.03,4654.60,4656.89,4653.68,4658.13,4654.75,0.00,0.00,0.00,-3.50,2.50,4651.94,0.00,4652.50,0.00,0.00,37232.25,2.60,4654.03,4654.03,4654.03,0.00,0.00,0.00,50.30,16.67,4655.01,4654.39,4655.48,4653.29
1772490921750000000,1772490921750,4249737,4655.25,4657.5,4655,4657.5,165,127,38,4656.448484848484,4654.14,4654.73,4656.98,4653.94,4658.12,4654.75,0.00,0.00,0.00,-1.00,2.50,4651.94,0.00,0.00,0.00,0.00,41887.25,2.59,4654.14,4654.14,4654.14,0.00,0.00,0.00,51.92,45.83,4655.05,4654.48,4655.52,4653.44
1772491053250000000,1772491053250,4249738,4658.25,4658.75,4656.25,4658.75,293,87,206,4657.732081911263,4654.35,4655.37,4657.35,4654.36,4658.13,4654.86,0.00,0.00,0.00,2.50,2.50,4651.94,0.00,0.00,0.00,0.00,46543.50,2.59,4654.35,4654.35,4654.35,0.00,0.00,0.00,52.73,92.00,4655.71,4654.85,4656.07,4653.62
