id,time,pos,open,high,low,close,volume,bidVolume,askVolume,vwap,calc__label:smaLow14__tf:same__id:sma__source:low__length:14__out:value,calc__label:emaOpen21__tf:same__id:ema__source:open__length:21__out:value,calc__label:vwmaHigh120__tf:same__id:vwma__source:high__length:120__out:value,calc__label:wmaLow31__tf:same__id:wma__source:low__length:31__out:value,calc__label:rmaHigh40__tf:same__id:rma__source:high__length:40__out:value,calc__label:hmaOpen150__tf:same__id:hma__source:open__length:150__out:value,calc__label:crossaboveHighSma20__tf:same__id:crossabove__series1:high__series2:sma20__out:value,calc__label:crossbelowHighSma20__tf:same__id:crossbelow__series1:high__series2:sma20__out:value,calc__label:stdDevLow22__tf:same__id:stdev__source:low__length:22__out:value,calc__label:changeHigh8__tf:same__id:change__source:high__length:8__out:value,calc__label:truerange__tf:same__id:truerange__out:value,calc__label:linearRegressionHigh35__tf:same__id:linreg__source:high__length:35__out:value,calc__label:pivothigh5__tf:same__id:pivothigh__source:high__length:5__out:value,calc__label:pivotlow5__tf:same__id:pivotlow__source:low__length:5__out:value,calc__label:rateofchangeOpen36__tf:same__id:rateofchange__source:open__length:36__out:value,calc__label:sumLow250__tf:same__id:sum__source:low__length:250__out:value,calc__label:cumulativeLow__tf:same__id:cumulative__source:low__out:value,calc__label:atr18__tf:same__id:atr__length:18__out:value,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:top,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:mid,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:bot,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:macd,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:signal,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:hist,calc__label:rsiLow21__tf:same__id:rsi__source:low__length:21__out:value,calc__label:stochasticOpen14__tf:same__id:stochastic__source:open__high:high__low:low__length:14__out:value,calc__label:vwapOpenDaily__tf:same__id:vwap__source:open__resetCondition:daily__out:value,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:vwap,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:top1,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:bot1
79200000000000,79200000,5279,6000.25,6025.5,5967.5,5981.5,220016,111974,108042,6005.196418669551,5967.50,6000.25,6025.50,5967.50,6025.50,6000.25,0.00,0.00,0.00,0.00,58.00,5817.77,0.00,0.00,0.00,0.00,5967.50,58.00,5967.50,5967.50,5967.50,0.00,0.00,0.00,0.00,56.47,6000.25,5967.50,5967.50,5967.50
338400000000000,338400000,5280,5981.75,5983.25,5830.25,5852.25,211144,109397,101747,5911.078988747016,5898.88,5987.92,6004.81,5876.00,6024.44,5992.03,0.00,0.00,0.00,-42.25,153.00,5817.77,0.00,0.00,0.00,0.00,11797.75,63.28,5898.88,5898.88,5898.88,0.00,0.00,0.00,100.00,77.59,5981.75,5830.25,5830.25,5830.25
424800000000000,424800000,5281,5855.25,5875,5823.5,5829.25,217104,111250,105854,5857.348554149164,5873.75,5921.58,5961.34,5849.75,6020.71,5956.81,0.00,5875.00,0.00,-150.50,51.50,5817.77,0.00,0.00,0.00,0.00,17621.25,62.62,5873.75,5873.75,5873.75,0.00,0.00,0.00,0.00,15.72,5855.25,5823.50,5823.50,5823.50
511200000000000,511200000,5282,5831.5,5874.75,5824.75,5833.25,224876,108253,116623,5856.658478450346,5861.50,5885.55,5939.04,5839.75,6017.06,5928.30,5824.75,0.00,0.00,-150.75,50.00,5817.77,0.00,0.00,0.00,0.00,23446.00,61.92,5861.50,5861.50,5861.50,0.00,0.00,0.00,0.00,3.96,5831.50,5824.75,5824.75,5824.75
597600000000000,597600000,5283,5837.25,5840.5,5788,5819.5,210945,107982,102963,5802.939927469246,5846.80,5869.45,5919.86,5822.50,6012.64,5908.69,0.00,5840.50,0.00,-185.00,52.50,5817.77,0.00,0.00,0.00,0.00,29234.00,61.40,5846.80,5846.80,5846.80,0.00,0.00,0.00,0.98,20.74,5837.25,5788.00,5788.00,5788.00
684000000000000,684000000,5284,5816.25,5843,5796.75,5809.75,214701,111226,103475,5826.966275192011,5838.46,5854.25,5907.16,5815.14,6008.40,5893.13,0.00,0.00,0.00,-182.50,46.25,5817.77,0.00,0.00,0.00,0.00,35030.75,60.56,5838.46,5838.46,5838.46,0.00,0.00,0.00,1.33,11.89,5816.25,5796.75,5796.75,5796.75
943200000000000,943200000,5285,5809.5,5845,5807.25,5840.75,221469,108029,113440,5821.192323756372,5834.00,5843.06,5898.10,5813.17,6004.32,5880.62,0.00,0.00,0.00,-180.50,37.75,5817.77,0.00,0.00,0.00,0.00,40838.00,59.29,5834.00,5834.00,5834.00,0.00,0.00,0.00,1.77,9.05,5809.50,5807.25,5807.25,5807.25
1029600000000000,1029600000,5286,5844,5883.25,5835.5,5876.5,217960,115020,102940,5865.574429941274,5834.19,5843.27,5896.24,5818.13,6001.29,5872.32,5835.50,0.00,0.00,-142.25,47.75,5817.77,0.00,0.00,0.00,0.00,46673.50,58.65,5834.19,5834.19,5834.19,0.00,0.00,0.00,3.01,23.58,5844.00,5835.50,5835.50,5835.50
1116000000000000,1116000000,5287,5874,5888.75,5846,5847,212177,105254,106923,5870.433689796726,5835.50,5849.42,5895.42,5823.71,5998.48,5867.74,0.00,0.00,0.00,-136.75,42.75,5817.77,5888.75,0.00,0.00,0.00,52519.50,57.77,5835.50,5835.50,5835.50,0.00,0.00,0.00,3.48,36.21,5874.00,5846.00,5846.00,5846.00
1202400000000000,1202400000,5288,5850.75,5866,5802.25,5802.25,214070,104520,109550,5836.518112066146,5832.17,5849.66,5892.51,5819.80,5995.17,5864.45,0.00,0.00,0.00,-117.25,63.75,5817.77,0.00,0.00,0.00,0.00,58321.75,58.10,5832.17,5832.17,5832.17,0.00,0.00,0.00,3.40,26.42,5850.75,5802.25,5802.25,5802.25
