id,time,pos,open,high,low,close,volume,bidVolume,askVolume,vwap,calc__label:smaLow14__tf:same__id:sma__source:low__length:14__out:value,calc__label:emaOpen21__tf:same__id:ema__source:open__length:21__out:value,calc__label:vwmaHigh120__tf:same__id:vwma__source:high__length:120__out:value,calc__label:wmaLow31__tf:same__id:wma__source:low__length:31__out:value,calc__label:rmaHigh40__tf:same__id:rma__source:high__length:40__out:value,calc__label:hmaOpen150__tf:same__id:hma__source:open__length:150__out:value,calc__label:crossaboveHighSma20__tf:same__id:crossabove__series1:high__series2:sma20__out:value,calc__label:crossbelowHighSma20__tf:same__id:crossbelow__series1:high__series2:sma20__out:value,calc__label:stdDevLow22__tf:same__id:stdev__source:low__length:22__out:value,calc__label:changeHigh8__tf:same__id:change__source:high__length:8__out:value,calc__label:truerange__tf:same__id:truerange__out:value,calc__label:linearRegressionHigh35__tf:same__id:linreg__source:high__length:35__out:value,calc__label:pivothigh5__tf:same__id:pivothigh__source:high__length:5__out:value,calc__label:pivotlow5__tf:same__id:pivotlow__source:low__length:5__out:value,calc__label:rateofchangeOpen36__tf:same__id:rateofchange__source:open__length:36__out:value,calc__label:sumLow250__tf:same__id:sum__source:low__length:250__out:value,calc__label:cumulativeLow__tf:same__id:cumulative__source:low__out:value,calc__label:atr18__tf:same__id:atr__length:18__out:value,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:top,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:mid,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:bot,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:macd,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:signal,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:hist,calc__label:rsiLow21__tf:same__id:rsi__source:low__length:21__out:value,calc__label:stochasticOpen14__tf:same__id:stochastic__source:open__high:high__low:low__length:14__out:value,calc__label:vwapOpenDaily__tf:same__id:vwap__source:open__resetCondition:daily__out:value,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:vwap,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:top1,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:bot1
1756677600000000000,1756677600000,1452100,8728.5,8731.75,8716.75,8720,2921,1595,1326,8723.732711400206,8716.75,8728.50,8731.75,8716.75,8731.75,8728.50,0.00,0.00,0.00,0.00,15.00,8658.65,0.00,0.00,0.00,0.00,8716.75,15.00,8716.75,8716.75,8716.75,0.00,0.00,0.00,0.00,78.33,8728.50,8716.75,8716.75,8716.75
1756678395500000000,1756678395500,1452101,8718.5,8721.75,8707.5,8711.5,1973,952,1021,8714.23606183477,8712.13,8721.83,8727.72,8710.58,8731.50,8724.06,0.00,0.00,0.00,-10.00,14.25,8658.65,0.00,0.00,0.00,0.00,17424.25,14.96,8712.13,8712.13,8712.13,0.00,0.00,0.00,100.00,45.36,8724.47,8713.02,8717.40,8708.64
1756679257000000000,1756679257000,1452102,8710.5,8714.25,8704,8704.75,2507,732,1775,8710.14808536099,8709.42,8716.17,8723.16,8707.29,8731.07,8720.11,0.00,0.00,0.00,-17.50,10.25,8658.65,0.00,0.00,0.00,0.00,26128.25,14.70,8709.42,8709.42,8709.42,0.00,0.00,0.00,0.00,23.42,8719.74,8709.96,8715.58,8704.35
1756680052500000000,1756680052500,1452103,8703.5,8704.5,8693.25,8697.75,1957,968,989,8698.08929483904,8705.38,8711.10,8719.25,8701.67,8730.40,8716.51,0.00,8704.50,0.00,-27.25,11.50,8658.65,0.00,0.00,0.00,0.00,34821.50,14.52,8705.38,8705.38,8705.38,0.00,0.00,0.00,0.00,26.62,8716.34,8706.47,8715.53,8697.41
1756680914000000000,1756680914000,1452104,8696.75,8701.75,8694.5,8696.75,2155,1379,776,8698.261020881671,8703.20,8706.32,8715.98,8699.28,8729.69,8713.11,0.00,0.00,0.00,-30.00,7.25,8658.65,0.00,0.00,0.00,0.00,43516.00,14.12,8703.20,8703.20,8703.20,0.00,0.00,0.00,0.00,9.09,8712.67,8704.23,8713.94,8694.52
1756681710500000000,1756681710500,1452105,8695.5,8697.75,8688.75,8695,2724,1243,1481,8694.912169603524,8700.79,8703.23,8712.49,8696.27,8728.89,8710.29,0.00,0.00,0.00,-34.00,9.00,8658.65,0.00,0.00,0.00,0.00,52204.75,13.83,8700.79,8700.79,8700.79,0.00,0.00,0.00,12.30,15.70,8709.39,8701.27,8712.37,8690.17
1756682571000000000,1756682571000,1452106,8695.75,8699.25,8693.25,8693.25,2399,1680,719,8696.155064610255,8699.71,8701.36,8710.58,8695.52,8728.15,8708.05,0.00,0.00,0.00,-32.50,6.00,8658.65,0.00,0.00,0.00,0.00,60898.00,13.40,8699.71,8699.71,8699.71,0.00,0.00,0.00,14.29,16.28,8707.42,8700.11,8710.88,8689.34
1756683367500000000,1756683367500,1452107,8692.25,8697.75,8682.25,8682.5,1605,577,1028,8689.368380062306,8697.53,8699.33,8709.45,8692.57,8727.39,8706.12,0.00,0.00,0.00,-34.00,15.50,8658.65,0.00,0.00,0.00,0.00,69580.25,13.51,8697.53,8697.53,8697.53,0.00,0.00,0.00,13.50,20.20,8706.09,8698.54,8710.47,8686.61
1756684229000000000,1756684229000,1452108,8682,8693.5,8678.5,8691.5,1702,754,948,8685.799353701528,8695.42,8695.87,8708.09,8689.76,8726.54,8704.07,0.00,0.00,0.00,-38.25,15.00,8658.65,0.00,0.00,0.00,0.00,78258.75,13.60,8695.42,8695.42,8695.42,0.00,0.00,0.00,13.24,6.57,8704.03,8696.83,8710.06,8683.60
1756685024500000000,1756685024500,1452109,8690,8690,8672.75,8673.5,1934,1326,608,8682.40214581179,8693.15,8694.80,8706.49,8686.66,8725.63,8702.38,0.00,0.00,0.00,-31.75,18.75,8658.65,0.00,0.00,0.00,0.00,86931.50,13.88,8693.15,8693.15,8693.15,0.00,0.00,0.00,12.84,29.24,8702.79,8694.70,8709.74,8679.67
