id,time,pos,open,high,low,close,volume,bidVolume,askVolume,vwap,calc__label:smaLow14__tf:same__id:sma__source:low__length:14__out:value,calc__label:emaOpen21__tf:same__id:ema__source:open__length:21__out:value,calc__label:vwmaHigh120__tf:same__id:vwma__source:high__length:120__out:value,calc__label:wmaLow31__tf:same__id:wma__source:low__length:31__out:value,calc__label:rmaHigh40__tf:same__id:rma__source:high__length:40__out:value,calc__label:hmaOpen150__tf:same__id:hma__source:open__length:150__out:value,calc__label:crossaboveHighSma20__tf:same__id:crossabove__series1:high__series2:sma20__out:value,calc__label:crossbelowHighSma20__tf:same__id:crossbelow__series1:high__series2:sma20__out:value,calc__label:stdDevLow22__tf:same__id:stdev__source:low__length:22__out:value,calc__label:changeHigh8__tf:same__id:change__source:high__length:8__out:value,calc__label:truerange__tf:same__id:truerange__out:value,calc__label:linearRegressionHigh35__tf:same__id:linreg__source:high__length:35__out:value,calc__label:pivothigh5__tf:same__id:pivothigh__source:high__length:5__out:value,calc__label:pivotlow5__tf:same__id:pivotlow__source:low__length:5__out:value,calc__label:rateofchangeOpen36__tf:same__id:rateofchange__source:open__length:36__out:value,calc__label:sumLow250__tf:same__id:sum__source:low__length:250__out:value,calc__label:cumulativeLow__tf:same__id:cumulative__source:low__out:value,calc__label:atr18__tf:same__id:atr__length:18__out:value,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:top,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:mid,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:bot,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:macd,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:signal,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:hist,calc__label:rsiLow21__tf:same__id:rsi__source:low__length:21__out:value,calc__label:stochasticOpen14__tf:same__id:stochastic__source:open__high:high__low:low__length:14__out:value,calc__label:vwapOpenDaily__tf:same__id:vwap__source:open__resetCondition:daily__out:value,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:vwap,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:top1,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:bot1
1772492711125000000,1772492711125,4250319,8422,8422,8419.5,8419.5,285,94,191,8421.46403508772,8419.50,8422.00,8422.00,8419.50,8422.00,8422.00,0.00,0.00,0.00,0.00,2.50,8423.22,0.00,0.00,0.00,0.00,8419.50,2.50,8419.50,8419.50,8419.50,0.00,0.00,0.00,0.00,100.00,8422.00,8419.50,8419.50,8419.50
1772492777625000000,1772492777625,4250320,8419,8419,8416.5,8416.5,149,103,46,8417.96644295302,8418.00,8420.00,8420.97,8417.50,8421.92,8420.67,0.00,0.00,0.00,-3.00,3.00,8423.22,0.00,0.00,0.00,0.00,16836.00,2.53,8418.00,8418.00,8418.00,0.00,0.00,0.00,100.00,45.45,8420.97,8418.47,8419.91,8417.03
1772492910125000000,1772492910125,4250321,8416.25,8417.75,8415.25,8417.75,57,31,26,8416.162280701754,8417.08,8418.13,8420.60,8416.38,8421.82,8419.40,0.00,8417.75,0.00,-4.25,2.50,8423.22,0.00,0.00,0.00,0.00,25251.25,2.53,8417.08,8417.08,8417.08,0.00,0.00,0.00,0.00,14.81,8420.42,8418.10,8419.92,8416.28
1772492910625000000,1772492910625,4250322,8418,8420.25,8417.75,8420.25,136,88,48,8418.954044117647,8417.25,8418.08,8420.52,8416.92,8421.78,8418.87,8417.75,0.00,0.00,-1.75,2.50,8423.22,0.00,0.00,0.00,0.00,33669.00,2.52,8417.25,8417.25,8417.25,0.00,0.00,0.00,0.00,40.74,8419.90,8418.02,8419.64,8416.40
1772493042125000000,1772493042125,4250323,8420.5,8422.75,8420.25,8422.75,74,49,25,8421.236486486487,8417.85,8418.88,8420.76,8418.03,8421.81,8418.87,0.00,0.00,0.00,0.75,2.50,8423.22,0.00,0.00,0.00,0.00,42089.25,2.52,8417.85,8417.85,8417.85,0.00,0.00,0.00,48.59,70.00,8419.96,8418.26,8419.99,8416.53
1772493042750000000,1772493042750,4250324,8424.5,8425.75,8423.25,8423.25,89,68,21,8424.58426966292,8418.75,8420.49,8421.32,8419.52,8421.90,8419.33,0.00,0.00,0.00,3.75,3.00,8423.22,0.00,0.00,0.00,0.00,50512.50,2.55,8418.75,8418.75,8418.75,0.00,0.00,0.00,50.04,88.10,8420.47,8418.82,8421.29,8416.35
1772493108750000000,1772493108750,4250325,8422.25,8423.25,8420.75,8420.75,316,253,63,8423.023734177215,8419.04,8420.93,8421.87,8419.83,8421.94,8419.73,0.00,0.00,0.00,1.25,2.50,8423.22,0.00,0.00,0.00,0.00,58933.25,2.55,8419.04,8419.04,8419.04,0.00,0.00,0.00,48.83,66.67,8420.98,8419.37,8421.66,8417.09
1772493175750000000,1772493175750,4250326,8420,8420.75,8418.25,8420.75,156,39,117,8419.517628205129,8418.94,8420.72,8421.73,8419.48,8421.91,8419.95,0.00,0.00,0.00,-1.25,2.50,8423.22,0.00,0.00,0.00,0.00,67351.50,2.54,8418.94,8418.94,8418.94,0.00,0.00,0.00,47.62,45.24,8420.86,8419.23,8421.41,8417.05
1772493241750000000,1772493241750,4250327,8422,8424.5,8422,8424.5,100,64,36,8423.24,8419.28,8420.98,8421.94,8419.98,8421.97,8420.16,0.00,0.00,0.00,2.50,3.75,8423.22,0.00,0.00,0.00,0.00,75773.50,2.61,8419.28,8419.28,8419.28,0.00,0.00,0.00,49.59,64.29,8420.94,8419.44,8421.71,8417.16
1772493307500000000,1772493307500,4250328,8425.25,8425.5,8423,8425.5,235,137,98,8424.217021276596,8419.65,8421.75,8422.46,8420.53,8422.06,8420.45,0.00,0.00,0.00,6.50,2.50,8423.22,0.00,0.00,0.00,0.00,84196.50,2.61,8419.65,8419.65,8419.65,0.00,0.00,0.00,50.11,95.24,8421.58,8419.96,8422.51,8417.41
1772493440375000000,1772493440375,4250329,8427,8429.5,8427,8429.5,79,73,6,8427.971518987342,8420.32,8422.63,8422.79,8421.61,8422.25,8420.81,0.00,0.00,0.00,11.75,4.00,8423.22,0.00,0.00,0.00,0.00,92623.50,2.68,8420.32,8420.32,8420.32,0.00,0.00,0.00,52.20,82.46,8421.83,8420.29,8423.38,8417.20
1772493506000000000,1772493506000,4250330,8429.75,8430.75,8428.25,8430.75,122,57,65,8429.172131147541,8420.98,8423.72,8423.33,8422.63,8422.46,8421.26,0.00,0.00,0.00,10.50,2.50,8423.22,0.00,0.00,0.00,0.00,101051.75,2.67,8420.98,8420.98,8420.98,0.00,0.00,0.00,52.85,93.55,8422.37,8420.83,8424.67,8417.00
1772493506875000000,1772493506875,4250331,8431.75,8432.5,8430,8430,204,86,118,8431.550245098038,8421.67,8424.87,8424.27,8423.68,8422.71,8421.90,0.00,0.00,0.00,9.75,2.50,8423.22,0.00,0.00,0.00,0.00,109481.75,2.66,8421.67,8421.67,8421.67,0.00,0.00,0.00,53.77,95.65,8423.33,8421.77,8426.67,8416.87
1772493573875000000,1772493573875,4250332,8428.5,8429.5,8427,8429.5,74,74,0,8428.013513513513,8422.05,8425.35,8424.45,8424.13,8422.88,8422.58,0.00,0.00,0.00,3.75,3.00,8423.22,0.00,0.00,0.00,0.00,117908.75,2.68,8422.05,8422.05,8422.05,0.00,0.00,0.00,51.94,76.81,8423.51,8421.95,8426.91,8416.99
1772493639500000000,1772493639500,4250333,8430,8432.5,8430,8430,1183,1068,115,8431.011411665258,8422.80,8425.94,8427.37,8424.86,8423.12,8423.28,0.00,0.00,0.00,9.25,3.00,8423.22,0.00,0.00,0.00,0.00,126338.75,2.70,8422.58,8422.58,8422.58,0.00,0.00,0.00,53.60,85.51,8425.87,8424.87,8430.40,8419.35
