id,time,pos,open,high,low,close,volume,bidVolume,askVolume,vwap,calc__label:smaLow14__tf:same__id:sma__source:low__length:14__out:value,calc__label:emaOpen21__tf:same__id:ema__source:open__length:21__out:value,calc__label:vwmaHigh120__tf:same__id:vwma__source:high__length:120__out:value,calc__label:wmaLow31__tf:same__id:wma__source:low__length:31__out:value,calc__label:rmaHigh40__tf:same__id:rma__source:high__length:40__out:value,calc__label:hmaOpen150__tf:same__id:hma__source:open__length:150__out:value,calc__label:crossaboveHighSma20__tf:same__id:crossabove__series1:high__series2:sma20__out:value,calc__label:crossbelowHighSma20__tf:same__id:crossbelow__series1:high__series2:sma20__out:value,calc__label:stdDevLow22__tf:same__id:stdev__source:low__length:22__out:value,calc__label:changeHigh8__tf:same__id:change__source:high__length:8__out:value,calc__label:truerange__tf:same__id:truerange__out:value,calc__label:linearRegressionHigh35__tf:same__id:linreg__source:high__length:35__out:value,calc__label:pivothigh5__tf:same__id:pivothigh__source:high__length:5__out:value,calc__label:pivotlow5__tf:same__id:pivotlow__source:low__length:5__out:value,calc__label:rateofchangeOpen36__tf:same__id:rateofchange__source:open__length:36__out:value,calc__label:sumLow250__tf:same__id:sum__source:low__length:250__out:value,calc__label:cumulativeLow__tf:same__id:cumulative__source:low__out:value,calc__label:atr18__tf:same__id:atr__length:18__out:value,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:top,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:mid,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:bot,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:macd,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:signal,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:hist,calc__label:rsiLow21__tf:same__id:rsi__source:low__length:21__out:value,calc__label:stochasticOpen14__tf:same__id:stochastic__source:open__high:high__low:low__length:14__out:value,calc__label:vwapOpenDaily__tf:same__id:vwap__source:open__resetCondition:daily__out:value,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:vwap,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:top1,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:bot1
1778796000000000000,1778796000000,24980000,8135,8135.75,8133.75,8135.75,71,18,53,8135.088028169014,8133.75,8135.00,8135.75,8133.75,8135.75,8135.00,0.00,0.00,0.00,0.00,2.00,8148.80,0.00,0.00,0.00,0.00,8133.75,2.00,8133.75,8133.75,8133.75,0.00,0.00,0.00,0.00,62.50,8135.00,8133.75,8133.75,8133.75
1778796060000000000,1778796060000,24980001,8136,8137.25,8135.5,8137.25,129,39,90,8136.191860465116,8134.63,8135.67,8136.72,8134.92,8135.79,8135.44,0.00,0.00,0.00,1.50,1.75,8148.80,0.00,0.00,0.00,0.00,16269.25,1.99,8134.63,8134.63,8134.63,0.00,0.00,0.00,100.00,64.29,8135.65,8134.88,8135.50,8134.26
1778796120000000000,1778796120000,24980002,8137.75,8138,8137,8137.5,107,60,47,8137.553738317757,8135.42,8136.71,8137.16,8135.96,8135.84,8136.08,0.00,0.00,0.00,2.25,1.00,8148.80,0.00,0.00,0.00,0.00,24406.25,1.93,8135.42,8135.42,8135.42,0.00,0.00,0.00,100.00,94.12,8136.38,8135.62,8136.76,8134.48
1778796195000000000,1778796195000,24980003,8137.5,8137.5,8134.75,8135.5,855,829,26,8135.564619883041,8135.25,8137.02,8137.41,8135.48,8135.88,8136.46,0.00,0.00,0.00,1.75,2.75,8148.80,0.00,0.00,0.00,0.00,32541.00,1.98,8135.25,8135.25,8135.25,0.00,0.00,0.00,100.00,88.24,8137.20,8134.98,8135.61,8134.35
1778796255000000000,1778796255000,24980004,8134,8138.75,8134,8138.25,95,49,46,8137.078947368421,8135.00,8136.02,8137.51,8134.98,8135.96,8136.31,0.00,0.00,0.00,3.00,4.75,8148.80,0.00,0.00,0.00,0.00,40675.00,2.13,8135.00,8135.00,8135.00,0.00,0.00,0.00,41.98,5.00,8136.96,8134.91,8135.59,8134.22
1778796330000000000,1778796330000,24980005,8138,8138,8135.5,8135.5,90,42,48,8136.966666666666,8135.08,8136.58,8137.54,8135.13,8136.01,8136.39,0.00,0.00,0.00,2.25,2.75,8148.80,0.00,0.00,0.00,0.00,48810.50,2.17,8135.08,8135.08,8135.08,0.00,0.00,0.00,43.12,85.00,8137.03,8134.94,8135.63,8134.26
1778796390000000000,1778796390000,24980006,8137,8137.25,8135.25,8135.25,580,74,506,8136.83275862069,8135.11,8136.69,8137.46,8135.16,8136.04,8136.46,0.00,0.00,0.00,1.50,2.00,8148.80,0.00,0.00,0.00,0.00,56945.75,2.16,8135.11,8135.11,8135.11,0.00,0.00,0.00,42.97,65.00,8137.02,8135.04,8135.63,8134.45
1778796450000000000,1778796450000,24980007,8134,8134,8131.75,8133,118,71,47,8132.932203389831,8134.69,8136.09,8137.26,8134.40,8135.99,8136.38,0.00,8134.00,0.00,-1.75,3.50,8148.80,0.00,8131.75,0.00,0.00,65077.50,2.23,8134.69,8134.69,8134.69,0.00,0.00,0.00,40.92,32.14,8136.85,8134.85,8135.94,8133.75
1778796525000000000,1778796525000,24980008,8133.25,8134.5,8132.75,8134.5,113,113,0,8133.449115044248,8134.47,8135.52,8137.11,8134.07,8135.95,8136.21,0.00,0.00,0.00,-1.25,1.75,8148.80,0.00,0.00,0.00,0.00,73210.25,2.20,8134.47,8134.47,8134.47,0.00,0.00,0.00,41.75,21.43,8136.66,8134.74,8135.94,8133.53
1778796585000000000,1778796585000,24980009,8134.5,8137.75,8133.75,8137.75,122,76,46,8134.875,8134.40,8135.34,8137.15,8134.01,8136.00,8136.05,8133.75,0.00,0.00,0.50,4.00,8148.80,0.00,0.00,0.00,0.00,81344.00,2.30,8134.40,8134.40,8134.40,0.00,0.00,0.00,42.61,39.29,8136.54,8134.68,8135.89,8133.48
1778796660000000000,1778796660000,24980010,8137.75,8139.5,8137.75,8139.5,134,72,62,8138.505597014925,8134.70,8135.74,8137.28,8134.64,8136.08,8136.00,0.00,0.00,0.00,1.50,1.75,8148.80,0.00,0.00,0.00,0.00,89481.75,2.27,8134.70,8134.70,8134.70,0.00,0.00,0.00,45.93,77.42,8136.61,8134.85,8136.30,8133.41
1778796720000000000,1778796720000,24980011,8139,8141.5,8138.75,8141.5,970,915,55,8138.886340206185,8135.04,8136.24,8138.49,8135.27,8136.22,8136.04,0.00,0.00,0.00,4.00,2.75,8148.80,8141.50,0.00,0.00,0.00,97620.50,2.30,8135.04,8135.04,8135.04,0.00,0.00,0.00,46.74,74.36,8137.30,8135.97,8138.20,8133.75
1778796795000000000,1778796795000,24980012,8140.5,8140.5,8139,8139,100,28,72,8139.4425,8135.35,8136.85,8138.55,8135.80,8136.33,8136.16,0.00,0.00,0.00,1.75,2.50,8148.80,0.00,0.00,0.00,0.00,105759.50,2.31,8135.35,8135.35,8135.35,0.00,0.00,0.00,46.94,89.74,8137.39,8136.06,8138.34,8133.78
1778796855000000000,1778796855000,24980013,8140.75,8140.75,8137.75,8137.75,110,54,56,8138.763636363637,8135.52,8137.37,8138.61,8136.06,8136.44,8136.34,0.00,0.00,0.00,2.75,3.00,8148.80,0.00,0.00,0.00,0.00,113897.25,2.35,8135.52,8135.52,8135.52,0.00,0.00,0.00,46.00,92.31,8137.49,8136.11,8138.38,8133.84
1778796915000000000,1778796915000,24980014,8137,8137.5,8135,8136,106,61,45,8136.438679245283,8135.61,8137.32,8138.58,8135.93,8136.46,8136.49,0.00,0.00,0.00,0.25,2.75,8148.80,0.00,0.00,0.00,0.00,122032.25,2.37,8135.48,8135.48,8135.48,0.00,0.00,0.00,43.96,53.85,8137.48,8136.08,8138.33,8133.83
1778796990000000000,1778796990000,24980015,8136,8136.5,8134.5,8135,331,89,242,8135.6888217522655,8135.54,8137.17,8138.41,8135.76,8136.46,8136.61,0.00,8136.50,0.00,2.50,2.00,8148.80,0.00,8134.50,0.00,0.00,130166.75,2.35,8135.42,8135.42,8135.42,0.00,0.00,0.00,43.59,43.59,8137.35,8135.95,8138.17,8133.73
1778797050000000000,1778797050000,24980016,8136.75,8137.25,8135.25,8136.75,96,95,1,8136.338541666667,8135.41,8137.12,8138.38,8135.70,8136.48,8136.71,8135.25,0.00,0.00,2.75,2.25,8148.80,0.00,0.00,0.00,0.00,138302.00,2.35,8135.41,8135.41,8135.41,-0.01,0.00,0.00,44.32,51.28,8137.34,8135.93,8138.13,8133.73
1778797125000000000,1778797125000,24980017,8136.25,8137,8135.25,8136.75,102,77,25,8136.5,8135.45,8137.03,8138.35,8135.66,8136.50,8136.80,0.00,0.00,0.00,-0.75,1.75,8148.80,0.00,0.00,0.00,0.00,146437.25,2.31,8135.40,8135.40,8135.40,-0.02,0.00,0.00,44.32,46.15,8137.31,8135.92,8138.09,8133.74
1778797185000000000,1778797185000,24980018,8136,8141,8136,8141,138,72,66,8138.059782608696,8135.59,8136.93,8138.43,8135.69,8136.61,8136.86,0.00,0.00,0.00,1.50,5.00,8148.80,0.00,0.00,0.00,0.00,154573.25,2.46,8135.43,8135.43,8135.43,0.04,0.00,0.00,45.11,43.59,8137.27,8135.92,8138.06,8133.78
1778797245000000000,1778797245000,24980019,8141.5,8142.5,8141.5,8142.5,256,222,34,8141.9208984375,8136.02,8137.36,8138.66,8136.24,8136.76,8136.98,0.00,0.00,0.00,1.00,1.50,8148.80,0.00,0.00,0.00,0.00,162714.75,2.41,8135.74,8135.74,8135.74,0.13,0.00,0.00,50.53,90.70,8137.51,8136.23,8138.82,8133.63
1778797320000000000,1778797320000,24980020,8142,8142.25,8139.5,8139.5,177,139,38,8141.90395480226,8136.32,8137.78,8138.79,8136.54,8136.89,8137.15,0.00,0.00,0.00,1.75,3.00,8148.80,0.00,0.00,0.00,0.00,170854.25,2.44,8135.92,8135.92,8135.92,0.21,0.00,0.00,48.69,95.35,8137.67,8136.35,8139.00,8133.69
1778797380000000000,1778797380000,24980021,8138.75,8140.5,8138.5,8140.5,79,30,49,8139.737341772152,8136.80,8137.87,8138.82,8136.71,8136.98,8137.31,0.00,0.00,2.36,-0.25,2.00,8148.80,0.00,0.00,0.00,0.00,178992.75,2.42,8136.03,8136.03,8136.03,0.23,0.00,0.00,47.78,61.54,8137.69,8136.38,8139.04,8133.73
