id,time,pos,open,high,low,close,volume,bidVolume,askVolume,vwap,calc__label:smaLow14__tf:same__id:sma__source:low__length:14__out:value,calc__label:emaOpen21__tf:same__id:ema__source:open__length:21__out:value,calc__label:vwmaHigh120__tf:same__id:vwma__source:high__length:120__out:value,calc__label:wmaLow31__tf:same__id:wma__source:low__length:31__out:value,calc__label:rmaHigh40__tf:same__id:rma__source:high__length:40__out:value,calc__label:hmaOpen150__tf:same__id:hma__source:open__length:150__out:value,calc__label:crossaboveHighSma20__tf:same__id:crossabove__series1:high__series2:sma20__out:value,calc__label:crossbelowHighSma20__tf:same__id:crossbelow__series1:high__series2:sma20__out:value,calc__label:stdDevLow22__tf:same__id:stdev__source:low__length:22__out:value,calc__label:changeHigh8__tf:same__id:change__source:high__length:8__out:value,calc__label:truerange__tf:same__id:truerange__out:value,calc__label:linearRegressionHigh35__tf:same__id:linreg__source:high__length:35__out:value,calc__label:pivothigh5__tf:same__id:pivothigh__source:high__length:5__out:value,calc__label:pivotlow5__tf:same__id:pivotlow__source:low__length:5__out:value,calc__label:rateofchangeOpen36__tf:same__id:rateofchange__source:open__length:36__out:value,calc__label:sumLow250__tf:same__id:sum__source:low__length:250__out:value,calc__label:cumulativeLow__tf:same__id:cumulative__source:low__out:value,calc__label:atr18__tf:same__id:atr__length:18__out:value,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:top,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:mid,calc__label:bbLow3015__tf:same__id:bb__source:low__length:30__mult:1.5__out:bot,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:macd,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:signal,calc__label:macdHigh163011__tf:same__id:macd__source:high__fastLength:16__slowLength:30__signalLength:11__out:hist,calc__label:rsiLow21__tf:same__id:rsi__source:low__length:21__out:value,calc__label:stochasticOpen14__tf:same__id:stochastic__source:open__high:high__low:low__length:14__out:value,calc__label:vwapOpenDaily__tf:same__id:vwap__source:open__resetCondition:daily__out:value,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:vwap,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:top1,calc__label:vwapBandsLow125__tf:same__id:vwapbands__source:low__resetCondition:daily__bandMult1:1.25__out:bot1
79200000000000,79200000,5279,22002,22004,21915.75,21918,204113,100407,103706,21953.013241439792,21915.75,22002.00,22004.00,21915.75,22004.00,22002.00,0.00,0.00,0.00,0.00,88.25,21917.57,0.00,0.00,0.00,0.00,21915.75,88.25,21915.75,21915.75,21915.75,0.00,0.00,0.00,0.00,97.73,22002.00,21915.75,21915.75,21915.75
338400000000000,338400000,5280,21922.5,21945.25,21845.25,21846.25,224681,113736,110945,21896.351400429943,21880.50,21949.00,21973.21,21868.75,22002.53,21966.67,0.00,0.00,0.00,-58.75,100.00,21917.57,0.00,0.00,0.00,0.00,43761.00,88.90,21880.50,21880.50,21880.50,0.00,0.00,0.00,100.00,48.66,21922.50,21845.25,21845.25,21845.25
424800000000000,424800000,5281,21846.75,21867.5,21823.25,21855,208901,110874,98027,21851.50070846956,21861.42,21897.88,21938.58,21846.00,21999.16,21932.27,0.00,21867.50,0.00,-136.50,44.25,21917.57,0.00,0.00,0.00,0.00,65584.25,86.42,21861.42,21861.42,21861.42,0.00,0.00,0.00,0.00,13.00,21846.75,21823.25,21823.25,21823.25
511200000000000,511200000,5282,21857,21874.5,21810.25,21820,215135,107092,108043,21828.338062147024,21848.63,21881.53,21922.42,21831.70,21996.04,21911.97,21810.25,0.00,0.00,-129.50,64.25,21917.57,0.00,0.00,0.00,0.00,87394.50,85.19,21848.63,21848.63,21848.63,0.00,0.00,0.00,0.00,24.13,21857.00,21810.25,21810.25,21810.25
597600000000000,597600000,5283,21825.25,21880.75,21813.5,21840.25,214062,108550,105512,21862.121198531266,21841.60,21862.77,21914.06,21825.63,21993.16,21895.57,0.00,0.00,0.00,-123.25,67.25,21917.57,0.00,0.00,0.00,0.00,109208.00,84.19,21841.60,21841.60,21841.60,0.00,0.00,0.00,0.00,7.74,21825.25,21813.50,21813.50,21813.50
684000000000000,684000000,5284,21837,21841.5,21748,21776.75,209133,104672,104461,21777.561806362457,21826.00,21855.41,21902.17,21803.45,21989.37,21884.09,0.00,21841.50,0.00,-162.50,93.50,21917.57,0.00,0.00,0.00,0.00,130956.00,84.71,21826.00,21826.00,21826.00,0.00,0.00,0.00,4.71,34.77,21837.00,21748.00,21748.00,21748.00
943200000000000,943200000,5285,21777.5,21799.25,21742.75,21765.5,213906,101411,112495,21768.478338616027,21814.11,21835.93,21887.39,21788.28,21984.61,21872.05,0.00,0.00,0.00,-204.75,56.50,21917.57,0.00,0.00,0.00,0.00,152698.75,83.14,21814.11,21814.11,21814.11,0.00,0.00,0.00,4.69,13.30,21777.50,21742.75,21742.75,21742.75
1029600000000000,1029600000,5286,21764.75,21799,21737.25,21787.75,216561,109733,106828,21772.45398294245,21804.50,21820.11,21876.18,21776.94,21979.97,21860.51,0.00,0.00,0.00,-205.00,61.75,21917.57,0.00,21737.25,0.00,0.00,174436.00,81.95,21804.50,21804.50,21804.50,0.00,0.00,0.00,4.67,10.31,21764.75,21737.25,21737.25,21737.25
1116000000000000,1116000000,5287,21787.5,21837.25,21785.5,21836.25,214562,111030,103532,21816.62826012994,21802.39,21813.59,21871.83,21778.65,21976.40,21851.13,21785.50,0.00,0.00,-166.75,51.75,21917.57,0.00,0.00,0.00,0.00,196221.50,80.28,21802.39,21802.39,21802.39,0.00,0.00,0.00,8.35,18.84,21787.50,21785.50,21785.50,21785.50
1202400000000000,1202400000,5288,21838.75,21897.75,21820.5,21873.75,214537,107328,107209,21873.61274395559,21804.20,21818.16,21874.43,21786.26,21974.44,21845.13,0.00,0.00,0.00,-47.50,77.25,21917.57,21897.75,0.00,0.00,0.00,218042.00,80.11,21804.20,21804.20,21804.20,0.00,0.00,0.00,10.97,38.05,21838.75,21820.50,21820.50,21820.50
1288800000000000,1288800000,5289,21872.5,21892.5,21839.5,21859.5,222350,110128,112222,21866.592869350123,21807.41,21827.22,21876.13,21795.13,21972.39,21842.15,0.00,0.00,0.00,25.00,53.00,21917.57,0.00,0.00,0.00,0.00,239881.50,78.60,21807.41,21807.41,21807.41,0.00,0.00,0.00,12.40,50.70,21872.50,21839.50,21839.50,21839.50
1548000000000000,1548000000,5290,21855.25,21858.75,21801.75,21804.25,227090,114114,112976,21820.191028887224,21806.94,21831.53,21874.61,21796.15,21969.55,21840.51,0.00,0.00,0.00,-15.75,57.75,21917.57,0.00,0.00,0.00,0.00,261683.25,77.44,21806.94,21806.94,21806.94,0.00,0.00,0.00,12.00,44.24,21855.25,21801.75,21801.75,21801.75
1634400000000000,1634400000,5291,21804.5,21847.5,21786.25,21800.25,220260,110624,109636,21828.185006356125,21805.35,21827.67,21872.48,21794.74,21966.50,21834.58,0.00,0.00,0.00,-33.25,61.25,21917.57,0.00,0.00,0.00,0.00,283469.50,76.54,21805.35,21805.35,21805.35,0.00,0.00,0.00,11.83,25.21,21804.50,21786.25,21786.25,21786.25
1720800000000000,1720800000,5292,21798,21810,21768.5,21790,212785,101815,110970,21793.03735813145,21802.71,21823.71,21868.08,21791.24,21962.58,21830.27,0.00,21810.00,0.00,-31.50,41.50,21917.57,0.00,0.00,0.00,0.00,305238.00,74.60,21802.71,21802.71,21802.71,0.00,0.00,0.00,11.64,22.77,21798.00,21768.50,21768.50,21768.50
1807200000000000,1807200000,5293,21788,21830.75,21779,21826.75,207267,100944,106323,21801.80559495723,21792.95,21819.25,21865.68,21789.71,21959.29,21826.88,21779.00,0.00,0.00,31.50,51.75,21917.57,0.00,0.00,0.00,0.00,327017.00,73.33,21801.13,21801.13,21801.13,0.00,0.00,0.00,12.52,24.40,21788.00,21779.00,21779.00,21779.00
1893600000000000,1893600000,5294,21822.75,21854,21804.5,21819.5,220694,106430,114264,21819.130970937134,21790.04,21819.66,21864.93,21791.45,21956.66,21824.56,0.00,0.00,0.00,55.00,49.50,21917.57,0.00,0.00,0.00,0.00,348821.50,72.00,21801.34,21801.34,21801.34,0.00,0.00,0.00,14.70,53.27,21822.75,21804.50,21804.50,21804.50
2152800000000000,2152800000,5295,21817.75,21820,21784,21803.5,219337,112077,107260,21803.280658302065,21787.23,21819.45,21862.24,21790.62,21953.24,21823.00,0.00,21820.00,0.00,-17.25,36.00,21917.57,0.00,0.00,0.00,0.00,370605.50,70.00,21800.32,21800.32,21800.32,-0.19,0.00,0.00,14.40,50.16,21817.75,21784.00,21784.00,21784.00
2239200000000000,2239200000,5296,21806.5,21806.5,21754.25,21777,222865,113223,109642,21769.54709128845,21783.23,21818.09,21859.05,21786.79,21949.57,21821.78,0.00,0.00,0.00,-91.25,52.25,21917.57,0.00,0.00,0.00,0.00,392359.75,69.02,21797.76,21797.76,21797.76,-0.66,0.00,0.00,13.96,43.15,21806.50,21754.25,21754.25,21754.25
2325600000000000,2325600000,5297,21778.25,21791.5,21745,21755.5,223691,114468,109223,21777.930780630424,21778.34,21814.10,21855.37,21782.61,21945.62,21820.44,0.00,0.00,0.00,-101.00,46.50,21917.57,0.00,0.00,0.00,0.00,414104.75,67.77,21794.99,21794.99,21794.99,-1.48,0.00,0.00,13.82,25.55,21778.25,21745.00,21745.00,21745.00
2412000000000000,2412000000,5298,21753.5,21788,21710,21711.75,223637,114991,108646,21769.556810813952,21775.63,21808.33,21851.90,21775.70,21941.68,21818.48,0.00,0.00,0.00,-70.75,78.00,21917.57,0.00,0.00,0.00,0.00,435814.75,68.34,21790.74,21790.74,21790.74,-2.41,0.00,0.00,13.30,23.17,21753.50,21710.00,21710.00,21710.00
2498400000000000,2498400000,5299,21712.5,21746,21679.25,21731.25,217566,106977,110589,21710.752049952658,21771.09,21799.62,21846.84,21766.93,21936.79,21815.33,0.00,0.00,0.00,-101.50,66.75,21917.57,0.00,21679.25,0.00,0.00,457494.00,68.25,21785.43,21785.43,21785.43,-4.43,0.00,0.00,12.86,15.22,21712.50,21679.25,21679.25,21679.25
2757600000000000,2757600000,5300,21732.5,21836.5,21713,21828.75,212832,110562,102270,21796.63686381747,21769.36,21793.52,21846.38,21762.24,21934.28,21811.47,21713.00,0.00,51.62,26.50,123.50,21917.57,0.00,0.00,0.00,0.00,479207.00,71.32,21782.14,21782.14,21782.14,-3.54,0.00,0.00,16.10,24.37,21732.50,21713.00,21713.00,21713.00
2844000000000000,2844000000,5301,21833.5,21866.25,21795.5,21795.5,226174,109253,116921,21847.489719198493,21770.07,21797.15,21847.28,21765.01,21932.58,21808.43,0.00,0.00,42.80,35.50,70.75,21917.57,0.00,0.00,0.00,0.00,501002.50,71.29,21782.72,21782.72,21782.72,-1.73,0.00,0.00,23.40,70.59,21833.50,21795.50,21795.50,21795.50
2930400000000000,2930400000,5302,21792.75,21900,21772.75,21875.25,209612,106271,103341,21835.162945108106,21766.66,21796.75,21849.40,21765.63,21931.76,21805.72,0.00,0.00,40.10,46.00,127.25,21917.57,21900.00,0.00,0.00,0.00,522775.25,74.39,21782.30,21782.30,21782.30,1.14,0.00,0.00,22.83,51.42,21792.75,21772.75,21772.75,21772.75
3016800000000000,3016800000,5303,21877.25,21891,21843,21874.5,212050,100999,111051,21867.014247818912,21766.91,21804.07,21851.03,21771.58,21930.74,21804.41,0.00,0.00,41.41,71.00,48.00,21917.57,0.00,0.00,0.00,0.00,544618.25,72.93,21784.73,21784.73,21784.73,3.30,0.00,0.00,28.52,89.69,21877.25,21843.00,21843.00,21843.00
3103200000000000,3103200000,5304,21878,21881.75,21795.75,21803,227657,114737,112920,21819.303655279655,21766.48,21810.79,21852.27,21773.37,21929.52,21804.27,0.00,0.00,40.94,75.25,86.00,21917.57,0.00,0.00,0.00,0.00,566414.00,73.65,21785.15,21785.15,21785.15,4.78,0.00,0.00,27.11,90.03,21878.00,21795.75,21795.75,21795.75
3362400000000000,3362400000,5305,21802.25,21813.5,21781.5,21790,211221,107990,103231,21797.282869601033,21766.14,21810.01,21850.87,21773.95,21926.62,21804.26,0.00,0.00,40.06,22.00,32.00,21917.57,0.00,0.00,0.00,0.00,588195.50,71.34,21785.02,21785.02,21785.02,2.89,0.00,0.00,26.69,55.72,21802.25,21781.50,21781.50,21781.50
